date,city,delivery_cost,marketing_cost,refunds_cost
2024-01-01,Mumbai,513786.2,258867.07,100412.6
2024-01-01,Bangalore,435190.21,291413.59,153129.13
2024-01-01,Delhi,416030.73,333292.93,77997.61
2024-01-01,Pune,547353.92,335898.48,43282.88
2024-01-01,Hyderabad,323365.87,112808.96,60795.73
2024-01-01,Chennai,500941.06,355894.21,79035.65
2024-01-01,Kolkata,578253.0,228711.33,158140.77
2024-01-02,Mumbai,604493.79,389761.21,88158.91
2024-01-02,Bangalore,188580.28,311981.63,21487.09
2024-01-02,Delhi,425589.09,82799.06,70421.16
2024-01-02,Pune,477698.63,309739.57,151720.32
2024-01-02,Hyderabad,350452.71,141517.36,51037.42
2024-01-02,Chennai,425128.27,281749.01,53187.02
2024-01-02,Kolkata,246307.76,331342.35,25164.39
2024-01-03,Mumbai,566229.81,271396.23,153322.7
2024-01-03,Bangalore,167437.19,234149.69,99645.78
2024-01-03,Delhi,130127.71,175387.33,96147.57
2024-01-03,Pune,492991.88,145601.98,68881.65
2024-01-03,Hyderabad,420452.03,188531.87,58736.19
2024-01-03,Chennai,268845.69,323163.81,132245.81
2024-01-03,Kolkata,444280.22,259600.57,102460.54
2024-01-04,Mumbai,364019.79,201599.86,18840.09
2024-01-04,Bangalore,494463.32,290013.56,50459.75
2024-01-04,Delhi,598634.06,234253.84,121682.43
2024-01-04,Pune,521980.19,178318.91,130586.62
2024-01-04,Hyderabad,588793.36,309450.23,158634.7
2024-01-04,Chennai,424029.99,125144.83,155027.59
2024-01-04,Kolkata,598691.87,82904.39,85662.41
2024-01-05,Mumbai,524314.89,281554.41,99858.61
2024-01-05,Bangalore,559459.63,111686.29,87571.41
2024-01-05,Delhi,470188.72,109935.34,97957.42
2024-01-05,Pune,218635.85,371835.67,117604.32
2024-01-05,Hyderabad,154887.53,105229.09,84816.61
2024-01-05,Chennai,597070.14,257042.64,39305.49
2024-01-05,Kolkata,313420.31,102733.02,51585.39
2024-01-06,Mumbai,353673.81,171238.25,92530.21
2024-01-06,Bangalore,639747.73,386325.76,123228.4
2024-01-06,Delhi,365349.49,273984.14,100385.12
2024-01-06,Pune,120752.91,266892.01,72902.02
2024-01-06,Hyderabad,636202.43,417988.82,144788.35
2024-01-06,Chennai,434994.04,104456.35,58787.9
2024-01-06,Kolkata,381212.92,215451.28,16843.91
2024-01-07,Mumbai,415764.24,118229.72,113939.8
2024-01-07,Bangalore,527713.51,186647.37,117968.82
2024-01-07,Delhi,489562.75,335130.48,158859.8
2024-01-07,Pune,259613.75,354026.91,55704.9
2024-01-07,Hyderabad,300766.38,283480.07,113294.47
2024-01-07,Chennai,501973.54,210551.05,90200.0
2024-01-07,Kolkata,366009.29,325140.55,102707.52
2024-01-08,Mumbai,172990.31,167728.9,30504.79
2024-01-08,Bangalore,303737.7,245091.33,48384.3
2024-01-08,Delhi,138234.83,281302.74,146418.02
2024-01-08,Pune,503932.42,352225.23,87190.28
2024-01-08,Hyderabad,445002.25,376930.72,21209.82
2024-01-08,Chennai,262595.61,176393.9,114147.5
2024-01-08,Kolkata,499594.3,198019.05,64283.11
2024-01-09,Mumbai,272998.39,330868.52,87728.08
2024-01-09,Bangalore,359303.73,404285.87,120511.92
2024-01-09,Delhi,175537.99,154045.53,46751.0
2024-01-09,Pune,532606.93,251164.87,99369.35
2024-01-09,Hyderabad,309583.88,167526.42,50276.77
2024-01-09,Chennai,195403.76,210748.97,125151.39
2024-01-09,Kolkata,204955.95,226955.48,52480.83
2024-01-10,Mumbai,175478.98,282462.68,82037.81
2024-01-10,Bangalore,432733.8,108468.36,125928.88
2024-01-10,Delhi,183651.08,103427.32,106458.81
2024-01-10,Pune,490639.39,203675.34,36786.12
2024-01-10,Hyderabad,398774.2,99625.31,94131.76
2024-01-10,Chennai,220164.88,123469.03,78515.35
2024-01-10,Kolkata,131826.27,313094.43,20875.38
2024-01-11,Mumbai,478594.96,302784.05,72410.25
2024-01-11,Bangalore,540993.7,160444.94,95768.01
2024-01-11,Delhi,315768.46,262650.93,91912.26
2024-01-11,Pune,311261.18,184219.55,125234.05
2024-01-11,Hyderabad,616113.5,370127.3,117838.29
2024-01-11,Chennai,419455.77,195749.78,96074.14
2024-01-11,Kolkata,508360.25,361971.24,24236.55
2024-01-12,Mumbai,371837.54,395281.31,84067.73
2024-01-12,Bangalore,229350.95,365969.44,128225.85
2024-01-12,Delhi,603760.41,343770.27,57812.88
2024-01-12,Pune,384694.05,321946.1,46354.94
2024-01-12,Hyderabad,377728.43,353084.66,106523.31
2024-01-12,Chennai,390159.78,166846.13,27567.94
2024-01-12,Kolkata,356606.52,280740.67,37128.05
2024-01-13,Mumbai,185294.87,379055.59,17938.27
2024-01-13,Bangalore,433133.78,235049.13,31314.01
2024-01-13,Delhi,494287.7,360699.94,18410.12
2024-01-13,Pune,188388.96,314018.18,121643.98
2024-01-13,Hyderabad,242386.85,108829.69,98468.19
2024-01-13,Chennai,298707.87,145664.43,90241.74
2024-01-13,Kolkata,601504.19,312615.55,102867.22
2024-01-14,Mumbai,149156.64,317573.77,91633.15
