ticket_id,customer_id,issue_type,resolution_time_hrs,compensation_amount
1,3845,Late Delivery,30.7,0
2,91975,Late Delivery,39.6,50
3,76971,Wrong Item,45.9,0
4,19217,Wrong Item,10.3,0
5,82007,Payment Issue,55.4,100
6,109768,Late Delivery,19.1,0
7,55884,Late Delivery,19.8,0
8,103862,Missing Item,52.1,0
9,15218,Wrong Item,32.6,100
10,88825,Late Delivery,28.7,50
11,65752,Late Delivery,48.9,0
12,28002,Missing Item,18.1,100
13,45422,Late Delivery,55.8,0
14,12156,Late Delivery,25.3,0
15,4088,Late Delivery,35.0,0
16,87375,Missing Item,23.0,0
17,36490,Wrong Item,3.3,100
18,56610,Late Delivery,10.9,0
19,34709,Missing Item,59.2,0
20,42702,Payment Issue,47.4,50
21,3135,Wrong Item,38.5,0
22,8176,Missing Item,12.0,0
23,11381,Wrong Item,25.7,0
24,21765,Wrong Item,42.4,0
25,26879,Wrong Item,18.0,100
26,72235,Late Delivery,33.5,100
27,52358,Late Delivery,52.3,50
28,39731,Missing Item,8.4,0
29,97468,Late Delivery,36.9,0
30,74795,Late Delivery,7.8,50
31,83864,Wrong Item,0.6,0
32,11700,Late Delivery,42.8,0
33,78262,Missing Item,51.2,0
34,63706,Late Delivery,48.7,50
35,68858,Missing Item,50.5,50
36,100573,Late Delivery,18.9,200
37,92614,Missing Item,28.2,200
38,80205,Missing Item,36.1,50
39,61444,Late Delivery,51.6,0
40,8518,Late Delivery,49.7,50
41,20427,Late Delivery,22.0,0
42,36782,Wrong Item,63.3,0
43,108658,Wrong Item,58.6,50
44,36009,Missing Item,3.7,100
45,39340,Missing Item,32.9,100
46,80505,Payment Issue,15.1,50
47,2168,Late Delivery,46.2,100
48,98065,Wrong Item,17.4,100
49,115831,Missing Item,5.2,0
50,42747,Payment Issue,63.7,100
51,7875,Missing Item,11.7,200
52,19606,Late Delivery,47.1,0
53,8535,Late Delivery,16.3,50
54,71351,Missing Item,1.0,100
55,97770,Missing Item,67.4,0
56,10947,Late Delivery,40.6,0
57,60944,Wrong Item,19.2,50
58,106576,Wrong Item,31.7,0
59,101942,Late Delivery,55.3,50
60,103065,Wrong Item,62.1,50
61,116246,Late Delivery,55.5,0
62,82008,Late Delivery,6.8,200
63,114599,Missing Item,16.6,50
64,70896,Wrong Item,54.0,0
65,20626,Wrong Item,43.7,0
66,67777,Wrong Item,71.4,50
67,28134,Late Delivery,8.9,50
68,23713,Late Delivery,25.8,50
69,36320,Late Delivery,49.3,100
70,17166,Missing Item,7.4,200
71,83159,Missing Item,47.7,0
72,21046,Wrong Item,28.1,0
73,45323,Payment Issue,2.9,0
74,12614,Late Delivery,24.7,50
75,105096,Missing Item,71.7,200
76,105030,Missing Item,45.8,0
77,74769,Late Delivery,36.2,200
78,81369,Late Delivery,10.4,0
79,46038,Payment Issue,50.7,50
80,73812,Late Delivery,45.7,0
81,77397,Wrong Item,67.3,200
82,23325,Payment Issue,29.0,0
83,64189,Late Delivery,67.3,100
84,59581,Payment Issue,3.5,0
85,1515,Missing Item,49.2,50
86,95394,Payment Issue,1.9,300
87,19778,Late Delivery,32.7,50
88,23840,Wrong Item,66.3,0
89,114786,Missing Item,68.9,300
90,34374,Wrong Item,16.0,0
91,14584,Wrong Item,57.5,300
92,114363,Payment Issue,32.9,0
93,1544,Late Delivery,56.8,50
94,105534,Payment Issue,40.7,0
95,73236,Payment Issue,54.5,0
96,14612,Late Delivery,67.9,0
97,45476,Late Delivery,45.7,50
98,101334,Missing Item,53.4,0
99,75152,Wrong Item,16.0,100
100,23147,Late Delivery,68.1,50
